RECORD_ID,EN_NAME,JP_NAME,CN_NAME,EN_INTRO,JP_INTRO,CN_INTRO
107,Dark Binding Kick,ダーク束縛キック,暗能束缚踢,,,"凌空一跃，
落地时造成敌人产生一个吸引住敌人的漩涡"
117,Earth Curse,土の呪術,土之咒术,,,造成前方地面喷涌土之咒术
77,Spirit Bomb,元気玉,元气弹,,,向前放射超强能量
136,Gravitational Satellite,重力衛星,引力卫星,,,"释放一个以圆形轨道超速移动的能量球，
并拖拽敌人随之移动"
197,Power Split,パワー分裂,能量分裂,,,释放一个能不停分裂为二的魔法球
198,Tracking curse,追跡呪文,能量纠缠,,,释放一个能追踪并多次攻击敌人的法术球
199,flashback,フラッシュバック,后向闪现,,,向后瞬间移动
38,Wild slashes,乱れ斬り,乱斩,,,向前方连续挥舞三刀
100,Spell Eruption,呪術噴出,咒术喷涌,,,造成地面升起一股向前方喷涌的能量波
181,Jump Kick,ジャンプキック,跳跃踢,,,纵身踢飞敌人
108,blade,刃,刀刃,,,以能量刀攻击前方
66,low kick,ローキック,下踢,,,迅速踢向下前方
130,Flaming Hammer,火炎ハンマー,火焰震锤,,,在脚下地面制造一个能量波
158,Shadow Sword,紫影の剣,紫影剑,,,从半空施以敌人致命一剑
163,Reflective Resistance,抵抗反射,阻力反射,,,对敌人发起的攻击施加反弹
164,Psychic Blast ,サイキックショット,超能弹击,,,释放极强超能力将敌人推出一段距离
165,Fallen Sword,堕落の剣,堕落剑,,,通向地狱之剑
85,Launching Punch,吹き飛ばし拳（,击飞拳,,,一拳击飞敌人
91,Energy Fist,エナジーフィスト,能量拳,,,以拳头释放超强能量
50,Dual Sphere Impact,双球震撃,双球震击,,,双手各释放冲击波撞击敌人
16,Ruby Impact,紅玉衝撃,红宝石撞击,,,以魔法包围全身滚动攻击敌人
86,Force-Blocking Punch,レジスタンスフィスト,阻力拳,,,格挡敌人的攻击后出拳
141,Energy Spring,エナジースプリング,能量弹簧,,,制造能量喷泉将敌人弹起
114,Super Spiral Impact,超螺旋衝撃,超级螺旋冲击,,,制造一个强烈的螺旋冲击波将敌人卷入其中
